Modelo 1,Modelo 2,Modelo 3,Modelo 4
-3125437.85402585,-2828627.53424871,-3078634.72438165,-3077896.02079632
-3125062.25175679,-2828633.64112708,-3078487.666058,-3077551.38942329
-3125303.59322006,-2828639.27987951,-3077954.88415159,-3076966.50748509
-3124987.43000855,-2828625.05882421,-3077369.94100303,-3077764.92649736
-3125482.09847552,-2828629.59622329,-3077583.91728508,-3076977.1919737
-3126040.50846876,-2828621.66890315,-3077284.9886245,-3078065.88700149
-3125263.378956,-2828639.95908572,-3078102.19053002,-3077782.49714918
-3125260.12234036,-2828625.68194033,-3078550.09808915,-3077878.51250438
-3126215.38596751,-2828627.23847974,-3077260.24386277,-3077397.75006085
-3125370.30104536,-2828626.81873971,-3078155.97370008,-3077532.29039529
-3124611.91293996,-2828625.28548417,-3077312.33018655,-3077956.05986472
-3125457.32701844,-2828629.5961493,-3077831.67336349,-3078503.76905177
-3125780.80836803,-2828623.65904218,-3077162.48649145,-3078097.39801925
-3125150.34030139,-2828625.53662375,-3077466.74483506,-3078338.5775023
-3125921.288642,-2828631.23103939,-3077523.50403883,-3078253.20864602
-3125575.45430731,-2828623.13738603,-3077245.44012893,-3077168.15889988
-3125307.24215189,-2828623.87247136,-3078152.60563762,-3077294.92791235
-3124680.42973903,-2828632.1794505,-3077831.14141855,-3077685.60011763
-3125578.68527938,-2828623.75732493,-3077679.03919729,-3078030.57520131
-3125222.2488917,-2828624.3637466,-3077487.80958967,-3078735.14585717
-3126132.80530359,-2828618.21010487,-3077386.8487589,-3077791.46871163
-3125471.30547334,-2828624.4987424,-3077492.42318614,-3078423.69853264
-3125774.19341312,-2828636.16837296,-3077652.04957604,-3077289.14547663
-3124739.59246845,-2828621.30571304,-3078074.19750232,-3078254.48881856
-3124862.82074829,-2828638.11744467,-3077534.05305232,-3077846.50620427
-3124577.76565133,-2828621.58859274,-3077368.46984836,-3077841.59656443
-3125304.12286755,-2828624.83080771,-3076838.16922876,-3078351.25917435
-3125521.20594386,-2828629.34912307,-3077735.31157918,-3077481.97654831
-3124304.13564136,-2828628.30633013,-3077738.09875543,-3077817.94474832
-3125204.30922437,-2828626.09577033,-3077538.18156943,-3077488.82881073
-3125960.67375821,-2828630.94271374,-3078445.35369398,-3077157.89706961
-3125405.23796515,-2828622.7438843,-3077982.0462568,-3078212.82726402
-3125207.78073893,-2828627.40692447,-3076884.70837951,-3077870.47408133
-3124488.81145179,-2828619.90641302,-3078184.96113125,-3076997.47152084
-3124684.83674289,-2828639.70076573,-3076432.15209916,-3077518.15696613
-3126171.53189517,-2828632.06993704,-3077263.16427822,-3078038.54994329
-3125293.20372042,-2828630.21207476,-3077265.60581897,-3077466.80874384
-3125222.88165935,-2828646.35394847,-3078354.27358443,-3077950.23590345
-3125519.40079995,-2828622.70808878,-3077510.57201282,-3078601.08842411
-3124992.33419143,-2828632.58823142,-3077668.81552756,-3077868.12821802
-3125845.08244199,-2828635.00642217,-3077913.44413124,-3077347.11065779
-3125479.08660991,-2828621.74280669,-3077169.00134176,-3077208.64689898
-3124947.38589159,-2828642.69754501,-3077583.65258115,-3078292.90192993
-3124924.27803834,-2828621.12673128,-3078434.32224311,-3077624.93586755
-3126235.93907709,-2828623.41978091,-3077404.46022238,-3077791.95743859
-3125976.79233768,-2828635.63519986,-3077042.90311648,-3077911.87487136
-3125532.49098848,-2828617.77412336,-3078537.32612458,-3076706.80557793
-3125850.8456974,-2828630.47273054,-3077390.12878962,-3078201.73672762
-3125573.74511926,-2828626.92877419,-3078340.37926385,-3078339.92124337
-3125295.1196681,-2828624.00499597,-3078088.25280724,-3077968.32710532
-3125361.09306284,-2828626.94505716,-3077748.3516043,-3077586.35252058
-3125896.91309048,-2828624.21568662,-3077470.50561342,-3078104.00720524
-3124623.2942771,-2828628.93246406,-3077421.26147259,-3078337.81664635
-3125034.67280423,-2828631.95491413,-3078208.41647979,-3077978.28224383
-3125098.34720311,-2828621.27486296,-3077773.21392778,-3077476.39160207
-3125991.34428346,-2828630.6411308,-3078523.38535053,-3077939.60741057
-3125986.49574356,-2828626.83463971,-3077114.13376347,-3077500.10338757
-3125324.16949407,-2828622.93945682,-3077833.5671818,-3077978.81788729
-3125915.95995997,-2828622.10762027,-3077704.46590342,-3078801.95426874
-3125126.33587125,-2828626.46084541,-3077724.04582194,-3078392.46933242
-3126041.5381061,-2828625.03843425,-3077281.61848018,-3077838.28784171
-3124473.70703154,-2828618.56230584,-3078052.36047368,-3077868.45634562
-3124917.45309236,-2828636.24122837,-3077405.94328366,-3077517.57739645
-3124862.8197001,-2828627.79785479,-3078149.37248937,-3077143.02827432
-3125700.69001729,-2828628.13073332,-3077381.72237367,-3077892.30824268
-3124941.19362817,-2828626.99379737,-3077689.62982076,-3077702.1125759
-3125819.95934269,-2828619.26072239,-3077557.91926212,-3077046.86150034
-3124575.00360585,-2828629.52416616,-3078302.33537748,-3078834.81057196
-3124988.73055919,-2828629.33853118,-3078241.41643469,-3078311.11787479
-3125270.81162116,-2828635.59365003,-3078567.10074009,-3078226.53940655
-3125563.08388978,-2828627.97291597,-3078263.77173351,-3078194.0915196
-3125331.42677644,-2828621.04401991,-3077223.35241778,-3077174.55668165
-3125817.03416017,-2828618.57429883,-3078171.04135107,-3078245.38716932
-3125637.48844343,-2828623.97171359,-3077816.91827624,-3078454.99113757
-3124461.75483058,-2828627.28010095,-3077477.55164304,-3077514.39892953
-3124771.5337871,-2828643.35312902,-3077619.78378236,-3077081.14653786
-3125615.31029632,-2828620.32890953,-3077974.07641482,-3078316.63746806
-3125692.49870324,-2828623.15476889,-3078593.85256578,-3077751.73702741
-3125043.53147258,-2828621.60296327,-3077976.04106981,-3077707.208093
-3125339.93524544,-2828627.01260321,-3077611.29734169,-3077597.72703495
-3124916.79968507,-2828629.93015471,-3078398.67225514,-3078338.48628265
-3125101.17866246,-2828644.23588424,-3077440.07571721,-3078270.31385366
-3124863.58835755,-2828630.32354303,-3078444.48454535,-3077793.2340738
-3125485.73097239,-2828622.0398605,-3077160.50595576,-3077757.83931553
-3125663.69789168,-2828631.75208767,-3077936.28740894,-3076899.22626056
-3125174.23049885,-2828615.25003577,-3077508.36394263,-3077436.61455676
-3125502.65463972,-2828627.26951899,-3077590.78775434,-3077703.234732
-3125254.67586693,-2828624.01547031,-3077149.85329261,-3078054.50315798
-3125368.76501386,-2828624.66157354,-3077570.65091209,-3076817.57866141
-3125792.30517826,-2828628.32266582,-3078438.51134313,-3077865.17068565
-3124698.30320778,-2828620.40903522,-3077100.69751181,-3078338.46656008
-3124676.10026433,-2828621.25324311,-3077799.24099841,-3077769.04324762
-3125628.97412463,-2828632.7477092,-3077817.52725753,-3078057.49440948
-3125585.0563488,-2828623.49561449,-3077769.63439955,-3078227.26279991
-3124649.72855519,-2828625.85120243,-3077095.83094618,-3078506.35748119
-3126062.88623463,-2828624.63405471,-3078142.92795691,-3078344.64252545
-3125605.25808502,-2828637.23827616,-3078469.304452,-3077210.86387525
-3125203.31867384,-2828627.81757227,-3076532.7502577,-3078534.68980191
-3124814.6445163,-2828619.70430221,-3077358.84443367,-3077566.51804258
-3123969.05999586,-2828634.96810916,-3077586.1394476,-3076772.29399237
-3125662.96102782,-2828631.22477705,-3077843.83448958,-3077217.36639002
-3125119.62505529,-2828626.88985018,-3077827.01831472,-3078348.4198855
-3126064.30133213,-2828629.99672096,-3077413.11324337,-3077906.65197042
-3126013.46894275,-2828635.81635769,-3077234.63658278,-3078132.9506739
-3125375.0576166,-2828618.99426719,-3077287.63637602,-3077224.43367642
-3125560.76355057,-2828625.07682112,-3077497.83796564,-3078179.83698447
-3125084.56413852,-2828632.67368884,-3077629.1770465,-3078182.46585
-3124969.34653377,-2828637.93145479,-3077909.67843196,-3077605.35590941
-3125752.12593794,-2828639.03158541,-3077454.71855672,-3078137.58570794
-3125229.37417896,-2828629.15719259,-3077522.96218519,-3076901.50342902
-3125372.5958895,-2828633.48586414,-3077646.40321853,-3078364.4542903
-3125218.08833433,-2828620.1727186,-3077613.47057944,-3078446.68020995
-3125198.73525781,-2828631.99255864,-3077435.48081883,-3077216.58123913
-3125120.7743117,-2828636.71200478,-3077631.8289251,-3078968.28543094
-3125929.82960983,-2828642.00699822,-3078040.85049559,-3076708.39594676
-3125326.85689377,-2828645.79218661,-3078222.67097205,-3077724.01702738
-3125709.60323751,-2828626.34045621,-3077358.67923088,-3077658.09403674
-3125087.52671067,-2828620.28223881,-3077549.68376672,-3077581.43804507
-3124913.81868506,-2828630.40624192,-3078319.86916566,-3077197.9472585
-3124763.21165084,-2828631.71270587,-3077731.51263349,-3077613.91887958
-3125161.70357616,-2828621.52415894,-3076896.08663463,-3077705.73314812
-3125314.57210694,-2828627.21032072,-3078342.02238439,-3077492.51226027
-3125503.23022541,-2828616.81379209,-3077086.7564121,-3077565.51810651
-3125926.25751678,-2828635.00808206,-3078371.036849,-3077215.23808895
-3124999.69678819,-2828618.20240843,-3078237.33902612,-3078045.98470727
-3125712.1080277,-2828628.70948137,-3077313.90404791,-3076929.30684076
-3124948.99061768,-2828623.77745814,-3077513.09334559,-3077707.75110895
-3125198.0215454,-2828649.38826746,-3078547.35328321,-3077268.66368017
-3125273.1933141,-2828628.7327871,-3077644.3924569,-3078051.50289068
-3124859.07006499,-2828626.83484321,-3078412.26408079,-3077568.15387699
-3125754.57354525,-2828629.8872535,-3077986.23663697,-3077774.58104763
-3125556.4323791,-2828623.76034482,-3077594.90228931,-3077665.62009883
-3125221.78397105,-2828623.88026805,-3078140.12214966,-3077492.92775739
-3124988.86169655,-2828638.07850353,-3077650.01579964,-3077820.88202839
-3125264.65951113,-2828636.20305998,-3077514.15317032,-3077498.8683471
-3125077.29190659,-2828627.44920228,-3077348.79487164,-3077694.11062141
-3124119.71011346,-2828630.99578466,-3077471.82331952,-3077819.53926561
-3124871.09600568,-2828624.32745172,-3077833.65928832,-3077288.72170607
-3125124.1811461,-2828625.71645648,-3078713.73764217,-3078032.59506783
-3125097.94172893,-2828624.83279354,-3078128.91855317,-3077661.70250071
-3125024.490519,-2828624.58504273,-3077755.47702368,-3077711.41806425
-3125246.35684274,-2828627.96809188,-3077958.78016416,-3078692.78550849
-3125060.66197899,-2828630.03550902,-3077173.33974195,-3077630.29980829
-3125237.74458813,-2828633.61972569,-3078224.86184925,-3078016.64225484
-3125117.826488,-2828620.65819863,-3077835.64233737,-3077890.0624052
-3124018.86491502,-2828625.84560737,-3077731.02796963,-3077653.32979894
-3125438.7109286,-2828628.95342491,-3078194.3635371,-3077927.20047828
-3125090.83519441,-2828622.5648841,-3077427.62233861,-3077826.16079172
-3124756.64946486,-2828622.86353383,-3077313.51052218,-3078367.40912821
-3124548.88263765,-2828635.81743027,-3076858.48049355,-3077740.57175287
-3125580.53585272,-2828624.56226435,-3077382.1804568,-3077674.72233508
-3124777.66421706,-2828628.06248843,-3077581.38379201,-3078106.88624447
-3125427.96382294,-2828626.24764805,-3077010.25524057,-3077960.68106552
-3126379.9869346,-2828620.27319539,-3076965.05793714,-3076932.21138569
-3125544.04342875,-2828624.62865926,-3077175.40463403,-3078805.98613858
-3124655.38207624,-2828628.82865356,-3077598.71875863,-3078253.30027792
-3125485.89304521,-2828622.55401897,-3078403.69365653,-3077543.39940369
-3124837.2131229,-2828631.67196027,-3077926.52358071,-3077482.6732421
-3126590.7092647,-2828634.62188676,-3077591.35704407,-3077727.71615725
-3125571.105206,-2828624.79156217,-3077910.86497427,-3078049.79461631
-3126188.52678112,-2828634.90523386,-3077967.90575121,-3078557.13752175
-3125241.65089405,-2828635.34766346,-3077845.15158462,-3078312.7498208
-3125305.22868428,-2828631.97272859,-3077838.17904381,-3077793.40352283
-3124678.57325097,-2828633.2727357,-3077741.60800038,-3077862.01365765
-3125831.45951125,-2828629.90074699,-3078306.67065056,-3077682.03890168
-3126100.38821613,-2828626.90972132,-3077713.54496135,-3078015.51444566
-3125684.08880038,-2828630.96042412,-3078063.49385575,-3077967.38761228
-3125765.30754987,-2828616.4965657,-3078233.62421087,-3078260.92273068
-3124678.79360104,-2828634.47679354,-3078059.68300301,-3078045.05031357
-3125827.05404986,-2828618.72013332,-3077780.10609928,-3077985.31339782
-3125898.2160513,-2828623.58671798,-3077692.3744431,-3078178.5810877
-3125099.08369998,-2828629.19891712,-3077785.47104496,-3077515.61573713
-3125256.17507865,-2828627.30006488,-3077881.71267084,-3077301.87849832
-3125182.15954923,-2828625.84915269,-3077706.85662668,-3078345.59601008
-3125696.94026593,-2828636.90231455,-3078257.47307752,-3078149.12341739
-3124658.45747422,-2828636.92701722,-3077939.56128091,-3077994.33955533
-3125191.38977303,-2828630.45693548,-3077425.40869265,-3078312.44529982
-3125448.37708458,-2828636.36239729,-3078608.56194764,-3077700.76623038
-3126270.11734215,-2828622.84597965,-3077684.58704583,-3077559.03766739
-3125670.9148305,-2828630.79545831,-3078041.28322443,-3078471.91929244
-3124898.61530053,-2828639.50524064,-3078181.87577427,-3077344.21664906
-3125709.02033783,-2828625.49535664,-3078133.00787508,-3078152.7224766
-3125876.41834079,-2828629.53345399,-3077117.06354592,-3077773.47794444
-3125774.8749782,-2828633.87159224,-3077460.36464273,-3077670.96444845
-3126696.4651404,-2828619.15413459,-3077838.31108276,-3078560.20301473
-3125503.02180358,-2828618.48480495,-3078622.18952886,-3078809.73929277
-3125568.37117281,-2828628.74650126,-3078205.04738259,-3077656.54399986
-3125195.17444325,-2828634.95137297,-3077753.14707792,-3077694.57808797
-3125697.46164262,-2828627.19982495,-3077704.07089067,-3078646.81450552
-3125463.96014096,-2828620.10247441,-3077577.74103925,-3077597.05807942
-3125785.99039121,-2828626.42994861,-3077595.47351021,-3077876.69007501
-3125241.45875536,-2828623.3263437,-3077384.52591463,-3078169.83520274
-3125403.77302261,-2828638.17121136,-3076461.77831555,-3078156.43503626
-3125334.25513429,-2828626.90275869,-3078062.13768203,-3077403.10764805
-3125498.13619812,-2828621.920483,-3077739.30413015,-3077402.53581218
-3125250.49478203,-2828626.10752603,-3077276.98096997,-3077979.88721489
-3125025.82990049,-2828627.94266946,-3077684.42755885,-3078104.93079522
-3124742.69961631,-2828628.30593826,-3077216.64995289,-3078063.14858138
-3125669.26036833,-2828629.41771836,-3077018.39429525,-3078103.95435356
-3125406.46320687,-2828636.74908246,-3077574.07977815,-3077656.89372651
-3125786.47003077,-2828636.89140043,-3077890.14676987,-3077435.97193628
-3125351.13005357,-2828630.77961976,-3076979.87926912,-3078574.85353919
-3125718.79669213,-2828618.39882467,-3078849.51094704,-3078517.85043149
-3125132.6464689,-2828621.12016862,-3078122.14881104,-3077517.04112029
-3125645.78885605,-2828622.33284437,-3077629.80296208,-3077774.21272248
-3126023.63244401,-2828622.17535199,-3077260.53414946,-3076282.15188733
-3124973.16463432,-2828629.53842582,-3078125.74491042,-3078233.52229554
-3125735.2818003,-2828639.94845185,-3077395.62263324,-3077860.69003471
-3125530.1177754,-2828626.36183438,-3077785.57626881,-3077625.09199766
-3124943.32099135,-2828621.65496386,-3077655.72722386,-3077644.65278658
-3125977.94811251,-2828629.03857135,-3077426.90958748,-3078096.96392507
-3125366.18209882,-2828628.16581132,-3078170.50770955,-3078484.58816903
-3125185.64721166,-2828634.11185934,-3077547.37749319,-3078002.47094813
-3125522.78111973,-2828622.9513339,-3078284.58062404,-3077530.32707481
-3125452.87964574,-2828621.18930884,-3077800.89119013,-3077505.52926522
-3125740.54869384,-2828628.85229727,-3077756.48214211,-3077296.85378297
-3125839.90252821,-2828632.04891315,-3077942.56751529,-3078047.0477451
-3125076.7233036,-2828630.31455479,-3077382.01744296,-3078255.28915641
-3125927.55815651,-2828628.47625078,-3077968.6884123,-3078011.56640566
-3124892.15152783,-2828626.69879932,-3078510.41226891,-3078065.9645118
-3125285.84878858,-2828627.7337877,-3076780.29499777,-3077147.355284
-3125085.28882692,-2828618.79440514,-3077973.76000062,-3078163.78553295
-3125483.01174765,-2828629.94980432,-3076729.62074222,-3077390.12259277
-3124133.8857554,-2828626.26022355,-3077553.11073851,-3077045.40197567
-3125857.77285322,-2828636.82686655,-3077468.87345953,-3078041.37586052
-3125767.8757653,-2828628.06182423,-3077916.79955759,-3077803.9255725
-3124901.33942035,-2828620.30309711,-3077923.46585733,-3077838.87010296
-3125389.93595065,-2828633.28660809,-3077716.27102061,-3077849.61847764
-3125627.89446193,-2828620.19688815,-3078180.41311632,-3077372.23702636
-3124953.69831329,-2828624.24261951,-3077326.13642315,-3076894.0840572
-3124937.88397123,-2828628.22373327,-3078060.32634799,-3078248.67260595
-3126343.45841611,-2828625.08163916,-3077757.17949004,-3077359.93463905
-3125052.95514658,-2828626.03928667,-3077150.72162944,-3078459.03899091
-3125914.85854502,-2828627.98454225,-3077818.81187094,-3077595.54824155
-3125938.15550104,-2828623.68061516,-3078391.15536245,-3077986.71358011
-3124804.60563728,-2828629.7704778,-3077905.83240854,-3077488.03280153
-3125564.10323452,-2828625.39181893,-3078206.60292808,-3077561.81873049
-3125704.92015967,-2828634.78117222,-3076747.56754499,-3077048.80516438
-3125803.47825735,-2828623.30984552,-3078162.79507583,-3077403.61274002
-3124730.33452192,-2828633.06388593,-3077168.14815343,-3077813.31101127
-3125172.28910835,-2828631.42857014,-3078572.57321348,-3077751.98300496
-3125324.03882277,-2828629.51622701,-3078031.57831321,-3077322.31947148
-3124701.04619286,-2828625.4344151,-3078964.09900526,-3077745.72154837
-3126203.07093536,-2828634.97298758,-3078071.2168729,-3078715.96019608
-3126118.6854575,-2828626.15591688,-3077299.37083063,-3077916.17347013
-3124838.11381841,-2828636.42559201,-3077549.06304956,-3077754.89965875
-3124937.76720498,-2828634.74974907,-3077952.13137688,-3077804.52368967
-3125766.61227466,-2828622.39255305,-3077879.46320409,-3077826.38060903
-3125438.49718893,-2828628.77917246,-3078297.82169158,-3077935.24325731
-3125850.81197937,-2828632.29943374,-3078657.06064322,-3077393.44077078
-3126267.66714344,-2828622.81722571,-3077107.59227443,-3078068.7290733
-3125675.26561876,-2828635.12755349,-3077934.40347499,-3078306.88455316
-3125636.71929439,-2828625.45844894,-3078321.15426095,-3078616.05436763
-3125894.31609753,-2828632.77312954,-3077214.1149743,-3078849.4136545
-3124841.03903687,-2828621.3504903,-3077830.159421,-3078190.56373206
-3125582.08465829,-2828619.84821713,-3078671.31294016,-3077836.60684539
-3125882.63073214,-2828630.09086462,-3078038.06655422,-3077363.00127492
-3125936.74115779,-2828629.51434643,-3078608.26213927,-3077803.19552136
-3124983.01844173,-2828624.09241417,-3077150.79222051,-3077543.74394614
-3125470.52734131,-2828634.87057768,-3078826.07654015,-3077478.02223161
-3125497.59994761,-2828628.56020176,-3077484.51980891,-3078342.23418204
-3125665.27321214,-2828633.41858344,-3077778.56004097,-3078327.76378618
-3124925.28177346,-2828630.24882532,-3077463.39814922,-3078437.38125827
-3124899.3746556,-2828626.75441313,-3078132.17940114,-3077823.19634984
-3125445.5837875,-2828626.15331753,-3077523.53064495,-3078682.85792373
-3124550.49256999,-2828633.15380612,-3077310.17892023,-3077175.85551013
-3124910.4267412,-2828618.959239,-3077500.04700925,-3077516.5368343
-3125477.77804806,-2828636.73650653,-3077659.06634848,-3078132.80879442
-3125403.28074021,-2828631.04777205,-3077666.77884749,-3077734.365086
-3125003.72006976,-2828627.89468856,-3078125.70167872,-3078235.8178353
