"","COLE_COD_MCPIO_UBICACION","media","ppp","No. Estudiantes"
"305",15808,266.552631578947,0.45188,38
"306",15810,259.888888888889,0.29054,27
"307",15814,249.583333333333,0.41638,120
"308",15816,246.80487804878,0.66702,41
"309",15820,256.592592592593,0.03068,27
"310",15822,252.035087719298,0.90586,57
"311",15832,208.12,0.96922,25
"312",15835,264.83064516129,0.8663,124
"313",15837,268.80701754386,0.87764,114
"314",15839,231.869565217391,0.6641,23
"315",15842,250.227272727273,0.82816,66
"316",15861,256.801169590643,0.97542,171
"317",15879,244.296296296296,0.09318,27
"318",15897,255.655737704918,0.9764,61
"319",17001,267.220724094881,0.99994,4005
"320",17013,262.348178137652,0.03188,247
"321",17042,245.558064516129,0.99926,310
"322",17050,234.735632183908,0.99932,174
"323",17088,235.122448979592,0.91206,98
"324",17174,252.204545454545,0.99732,484
"325",17272,259.040540540541,0.3946,74
"326",17380,246.863319386332,1,717
"327",17388,244.19298245614,0.61566,57
"328",17433,232.457142857143,0.9391,175
"329",17442,217.857142857143,0.85798,77
"330",17444,242.421686746988,0.97742,166
"331",17446,225.304347826087,0.93526,23
"332",17486,247.684210526316,0.99974,209
"333",17495,222.729166666667,0.98188,96
"334",17513,241.773722627737,0.96884,137
"335",17524,237.752873563218,0.97616,174
"336",17541,242.751937984496,0.99934,258
"337",17614,240.291044776119,0.9999,536
"338",17616,237.659090909091,0.99672,132
"339",17653,246.877192982456,0.58154,171
"340",17662,246.225108225108,0.98556,231
"341",17665,218.241935483871,0.85158,62
"342",17777,224.307486631016,0.99996,374
"343",17867,225.264,0.93778,125
"344",17873,258.351791530945,0.43736,614
"345",17877,247.678832116788,0.99876,137
"346",18001,253.221417485773,1,1933
"347",18029,232.44,0.65534,50
"348",18094,230.228260869565,0.9385,92
"349",18150,226.94347826087,0.99902,230
"350",18205,217.922222222222,0.85774,90
"351",18247,243.783673469388,0.99994,245
"352",18256,256.991150442478,0.83456,113
"353",18410,233.42,0.95558,100
"354",18460,211.111111111111,0.99682,81
"355",18479,212.363636363636,0.61154,33
"356",18592,227.07486631016,0.73692,187
"357",18610,225.248447204969,0.9998,161
"358",18753,231.18125,0.99978,480
"359",18756,203.6,0.94198,45
"360",18785,226.733333333333,0.85498,45
"361",18860,237.354166666667,0.9969,48
"362",19001,260.366035392735,0.99998,3221
"363",19022,220.849315068493,0.99704,146
"364",19050,232.833333333333,0.997,162
"365",19075,231.41726618705,0.99932,139
"366",19100,227.854591836735,0.99974,392
"367",19110,203.081712062257,0.99988,257
"368",19130,227.05497382199,0.99994,382
"369",19137,207.556818181818,0.99992,440
"370",19142,215.584656084656,0.99992,378
"371",19212,226.583969465649,0.99994,262
"372",19256,230.118329466357,0.99986,431
"373",19290,234.354838709677,0.43256,62
"374",19300,200.314606741573,0.9994,178
"375",19318,193.972307692308,0.99988,325
"376",19355,234.059210526316,0.9999,304
"377",19364,209.183783783784,0.98212,185
"378",19392,249.817073170732,0.97178,82
"379",19397,224.673758865248,0.99956,141
"380",19418,179.254385964912,0.88636,114
"381",19450,221.734567901235,0.9976,162
"382",19455,237.377483443709,0.95384,453
"383",19473,217.91103202847,0.9998,281
"384",19513,205.071428571429,0.99756,126
"385",19517,210.688581314879,0.99956,289
"386",19532,220.31884057971,0.9998,345
"387",19533,227.5,0.99592,46
"388",19548,237.758949880668,0.99956,419
"389",19573,209.643835616438,0.99996,438
"390",19585,231.654867256637,0.98604,113
"391",19622,239.733333333333,0.96084,90
"392",19693,223.93023255814,0.98068,86
"393",19698,241.221276595745,0.99998,1175
"394",19701,237.116279069767,0.45134,43
"395",19743,218.762430939227,0.99998,362
"396",19760,225.878787878788,0.9821,99
"397",19780,205.479591836735,0.99946,196
"398",19785,213.169230769231,0.84812,65
"399",19807,248.053370786517,0.99958,356
"400",19809,180.886597938144,0.98858,194
"401",19821,202.462532299742,0.99858,387
"402",19824,217.045226130653,0.9999,199
"403",19845,215.166666666667,0.99916,138
"404",20001,256.017264957265,1,5850
"405",20011,239.473481936972,1,1301
"406",20013,236.905797101449,0.99722,690
"407",20032,221.971014492754,0.99954,207
"408",20045,231.695652173913,0.87436,184
"409",20060,219.470809792844,1,531
"410",20175,216.593181818182,0.99988,440
"411",20178,219.911196911197,0.99992,259
"412",20228,239.221729490022,0.99984,451
"413",20238,238.623529411765,0.99994,340
"414",20250,221.955882352941,0.99986,408
"415",20295,216.712962962963,0.98568,108
"416",20310,262.45,0.87938,40
"417",20383,223.65243902439,0.9964,164
"418",20400,233.180698151951,0.99998,487
"419",20443,238.460431654676,0.9993,139
"420",20517,229.852272727273,0.9922,176
"421",20550,226.340659340659,0.99972,273
"422",20570,231.552631578947,0.9997,152
"423",20614,242.732876712329,0.99906,146
"424",20621,230.494983277592,0.99992,299
"425",20710,249.581081081081,0.99876,222
"426",20750,236.802395209581,0.99964,167
"427",20770,246.485981308411,0.25652,214
"428",20787,214.088888888889,0.9989,180
"429",23001,257.229638391348,1,5918
"430",23068,216.848979591837,1,490
"431",23079,215.883211678832,0.99906,274
"432",23090,221.093596059113,0.99968,203
"433",23162,244.889364739472,1,1401
"434",23168,222.20297029703,0.99982,202
"435",23182,249.900735294118,0.99988,544
"436",23189,231.973649538867,0.99996,759
"437",23300,221.798913043478,0.9087,184
"438",23350,236.972789115646,0.99764,147
"439",23417,234.291131105398,1,1556
"440",23419,214.92,0.99978,200
"441",23464,228.802281368821,0.99982,263
"442",23466,243.716216216216,1,1110
"443",23500,227.351351351351,0.99988,370
"444",23555,230.182643794147,1,991
"445",23570,231.741772151899,0.99996,395
"446",23574,221.391156462585,0.99984,294
"447",23580,223.485185185185,0.99998,540
"448",23586,220.766949152542,0.99946,236
"449",23660,250.347597597598,1,1332
"450",23670,210.576974564926,0.99996,747
"451",23672,217.916201117318,0.99996,358
"452",23675,228.995652173913,0.99988,460
"453",23678,216.684713375796,0.99974,314
"454",23682,204.684684684685,0.96486,111
"455",23686,235.237288135593,1,531
"456",23807,233.487743026205,1,1183
"457",23815,213.687022900763,0.9999,524
"458",23855,218.694817658349,0.99998,521
"459",25001,248.627450980392,0.05368,102
"460",25019,257.47619047619,0.21732,42
"461",25035,253.31007751938,0.99794,129
"462",25040,267.45,0.55562,160
"463",25053,259.095652173913,0.35216,115
"464",25086,239.833333333333,0.48482,18
"465",25095,263.25,0.2185,24
"466",25099,248.344827586207,0.9994,116
"467",25120,232.981818181818,0.99616,55
"468",25123,239.146666666667,0.86418,75
"469",25126,273.876300578035,0.00668,865
"470",25148,246.03007518797,0.04684,133
"471",25151,252.577319587629,0.32964,194
"472",25154,241.851851851852,0.66748,81
"473",25168,263.722222222222,0.79092,18
"474",25175,277.798053527981,0.0958,1644
"475",25178,269.25,0.32776,84
"476",25181,266.401360544218,0.79986,147
"477",25183,262.095435684647,0.78126,241
"478",25200,265.253289473684,0.02112,304
"479",25214,303.431554524362,0,862
"480",25224,248.698795180723,0.83716,83
"481",25245,245.275590551181,0.87068,254
"482",25258,256.432432432432,0.33488,37
"483",25260,257.545893719807,0.00116,207
"484",25269,272.083179297597,6e-05,1623
"485",25279,257.324786324786,0.83564,117
"486",25281,252.461538461538,0.6034,65
"487",25286,267.83236574746,0.91408,1378
"488",25288,263.246913580247,0.94592,81
"489",25290,260.479957242117,0.34514,1871
"490",25293,240.325581395349,0.46218,43
"491",25295,261.88188976378,0.6985,127
"492",25297,267.132530120482,0.66608,83
"493",25299,247.555555555556,0.75732,45
"494",25307,250.4416,0.9578,1250
"495",25312,236.628571428571,0.9968,70
"496",25317,245.218309859155,0.16088,142
"497",25320,249.9,0.99792,290
"498",25322,261.091891891892,0.05056,185
"499",25324,215.272727272727,0.7088,22
"500",25326,266.285714285714,0.96116,49
"501",25328,241.837837837838,0.20298,37
"502",25335,248.753623188406,0.12396,69
"503",25339,218.71875,0.69114,32
"504",25368,222.65,0.86828,20
"505",25372,237.514705882353,0.88756,68
"506",25377,284.520725388601,0.65562,386
"507",25386,266.593373493976,0.61866,332
"508",25394,238.293577981651,0.79408,109
"509",25398,234.074074074074,0.9729,54
"510",25402,261.383233532934,0.03472,167
"511",25407,262.625,0.51916,72
"512",25426,259.34328358209,0.96372,67
"513",25430,269.230643846781,0.00208,1227
"514",25436,248,0.99826,43
"515",25438,257.102941176471,0.46734,68
"516",25473,279.799153055051,0.78592,1653
"517",25483,238.304347826087,0.68052,23
"518",25486,250.069620253165,0.97104,158
"519",25488,260.78021978022,0.69596,91
"520",25489,222.166666666667,0.98104,36
"521",25491,259.088888888889,0.905,45
"522",25506,249.967741935484,0.99672,62
"523",25513,252.535836177474,0.97268,293
"524",25518,231.558823529412,0.94172,34
"525",25524,235.818181818182,0.98644,66
"526",25530,242.805970149254,0.92238,67
"527",25535,253.3125,0.99522,128
"528",25572,256.570588235294,0.99988,170
"529",25580,224.857142857143,0.95294,28
"530",25592,259.8125,0.42656,48
"531",25594,245.927272727273,0.44354,110
"532",25596,236.253968253968,0.19818,63
"533",25599,223.436363636364,0.99318,55
"534",25612,217.663157894737,0.44302,95
"535",25645,269.144144144144,0.1071,111
"536",25649,236.407692307692,0.43988,130
"537",25653,229.907692307692,0.77382,65
"538",25658,247.263157894737,0.99916,114
"539",25662,247.084210526316,0.84434,95
"540",25718,246.620437956204,0.8201,137
"541",25736,261.715384615385,0.13356,130
"542",25740,253.807339449541,0.12512,436
"543",25743,239.466926070039,0.9986,257
"544",25745,263.381818181818,0.13584,165
"545",25754,259.086950904393,0.3473,7740
"546",25758,272.058823529412,0.0098,272
"547",25769,284.99209486166,0.61568,253
"548",25772,246.93063583815,0.99822,173
"549",25777,239.420289855072,0.94546,69
"550",25779,239.324675324675,0.9936,77
"551",25781,258.560606060606,0.167,66
"552",25785,272.153583617747,0.06928,293
"553",25793,253.56,0.86566,125
"554",25797,251.03,0.87464,100
"555",25799,283.684615384615,0.00292,390
"556",25805,258.769230769231,0.85078,26
"557",25807,236.333333333333,0.91036,27
"558",25815,229.907407407407,0.8355,108
"559",25817,263.81914893617,0.80562,470
"560",25823,225.413043478261,0.32586,46
"561",25839,240.78,0.73524,100
"562",25841,243.752941176471,0.6525,85
"563",25843,260.653614457831,0.00688,664
"564",25845,239.9625,0.59044,80
"565",25851,233.022727272727,0.67736,44
"566",25862,253.595744680851,0.96208,47
"567",25867,258.365853658537,0.43122,41
"568",25871,264.818181818182,0.50342,22
"569",25873,262.206779661017,0.80402,295
"570",25875,248.908783783784,0.99964,296
"571",25878,243.620689655172,0.7514,174
"572",25885,238.528301886792,0.91964,106
"573",25898,245.191176470588,0.74584,68
"574",25899,277.034653465347,0.0126,1414
"575",27001,220.754480286738,1,1674
"576",27006,219.051546391753,0.99124,97
"577",27025,176.284482758621,0.99756,116
"578",27050,196.986486486486,0.85934,74
"579",27073,183.106382978723,0.99844,94
"580",27075,197.896,0.99122,125
"581",27077,191.8,0.99878,130
"582",27086,201.593103448276,0.99892,145
"583",27099,170.316666666667,0.78772,120
"584",27135,201.025641025641,0.7662,39
"585",27150,197.774647887324,0.98516,71
"586",27160,202.018867924528,0.52024,53
"587",27205,207.127450980392,0.99964,204
"588",27245,215.463157894737,0.99998,95
"589",27250,172.16,0.78874,125
"590",27361,223.80504587156,0.99994,436
"591",27372,169.318181818182,0.60386,22
"592",27413,183.573529411765,0.9498,68
"593",27425,181,0.61572,10
"594",27430,192.893617021277,0.97152,47
"595",27450,189.075471698113,0.9983,106
"596",27491,201.423076923077,0.9733,52
"597",27495,187.271186440678,0.68678,59
"598",27580,180.327272727273,0.89284,55
"599",27600,181.516129032258,0.89732,93
"600",27615,191.80694980695,0.99992,259
"601",27660,245,0.76524,23
"602",27745,188.375,0.8178,16
"603",27787,196.108333333333,0.99972,240
"604",27800,209.888888888889,0.99618,90
"605",27810,203.772727272727,0.99348,66
"606",41001,266.990237797247,0.99998,3995
"607",41006,244.665745856354,0.35128,362
"608",41013,246.670454545455,0.9073,88
"609",41016,218.8407960199,0.99978,201
"610",41020,263.788571428571,0.99548,175
"611",41026,253.230769230769,0.83144,39
"612",41078,245.102040816327,0.13158,49
"613",41132,234.804532577904,0.99954,353
"614",41206,247.958333333333,0.81298,48
"615",41244,255.964912280702,0.58852,57
"616",41298,249.1025390625,0.99994,1024
"617",41306,252.614886731392,0.99112,309
"618",41319,233.610655737705,0.99826,244
"619",41349,240.163265306122,0.66986,49
"620",41357,238.314516129032,0.93118,124
"621",41359,240.341743119266,0.99196,436
"622",41378,272.193277310924,0.76572,119
"623",41396,241.614343707713,1,739
"624",41483,225.319587628866,0.9913,97
"625",41503,245.555555555556,0.99436,144
"626",41518,249.614583333333,0.7439,96
"627",41524,257.589108910891,0.00738,404
"628",41530,251.890909090909,0.26344,110
"629",41548,238.378698224852,0.9791,169
"630",41551,271.13567839196,0.12592,1592
"631",41615,265.932258064516,0.99416,310
"632",41660,250.222222222222,0.96316,108
"633",41668,248.837278106509,0.99992,338
"634",41676,242.060606060606,0.65344,132
"635",41770,232.651063829787,0.99758,235
"636",41791,234.593548387097,0.96728,310
"637",41797,240.925,0.9952,120
"638",41799,240.631147540984,0.99334,122
"639",41801,255.976744186047,0.49484,43
"640",41807,242.564102564103,0.99978,273
"641",41872,243.649122807018,0.99468,57
"642",41885,244.653846153846,0.9651,78
"643",44001,233.61279333838,1,2642
"644",44035,206.623333333333,0.9999,300
"645",44078,216.083135391924,0.99996,421
"646",44090,214.46332046332,0.99924,259
"647",44098,201.872180451128,0.99636,133
"648",44110,222.4125,0.82162,80
"649",44279,233.078152753108,1,563
"650",44378,209.668181818182,1,220
"651",44420,231.692307692308,0.7174,26
"652",44430,227.240331491713,1,2172
"653",44560,187.86015037594,1,665
"654",44650,232.816725978648,0.99998,562
"655",44847,193.434583714547,0.99998,1093
"656",44855,253.319587628866,0.11306,97
"657",44874,240.892361111111,0.99682,288
"658",47001,244.0683182028,1,6499
"659",47030,205.505208333333,0.9994,192
"660",47053,211.709677419355,0.99998,403
"661",47058,228.669099756691,0.99992,411
"662",47161,192.4,0.99356,95
"663",47170,214.489451476793,0.99988,237
"664",47189,221.599092284418,1,1322
"665",47205,206.96449704142,0.99944,169
"666",47245,222.984575835476,1,778
"667",47258,205.257281553398,0.99992,206
"668",47268,210.813793103448,0.9999,290
"669",47288,227.930170098478,1,1117
"670",47318,219.274285714286,0.99884,350
"671",47460,215.893854748603,0.99954,179
"672",47541,206.424242424242,0.98396,99
"673",47545,214.923913043478,0.99982,184
"674",47551,227.200945626478,1,423
"675",47555,219.278787878788,0.99998,660
"676",47570,193.675889328063,0.99958,253
"677",47605,201.228571428571,0.7401,70
"678",47660,206.934065934066,0.99928,182
"679",47675,214.766355140187,0.996,107
"680",47692,234.098507462687,0.99992,335
"681",47703,216.2875,0.99992,160
"682",47707,216.281899109792,0.9999,337
"683",47720,202.652941176471,0.99932,170
"684",47745,206.361809045226,0.99972,199
"685",47798,211.491017964072,0.99996,167
"686",47960,223.278350515464,0.93766,97
"687",47980,202.430034129693,0.99998,879
"688",50001,260.295854063018,0.99998,6030
"689",50006,263.404636459431,0.83708,949
"690",50110,216.358974358974,0.99584,78
"691",50124,233.98,0.5653,50
"692",50150,243.1,0.98806,180
"693",50223,244.794520547945,0.99904,73
"694",50226,252.735483870968,0.86208,310
"695",50245,242.75,0.61328,20
"696",50251,237.92,0.77136,75
"697",50270,230.35632183908,0.99872,87
"698",50287,229.792682926829,0.98236,82
"699",50313,251.310669456067,0.9998,956
"700",50318,249.910714285714,0.91464,168
"701",50325,197.987179487179,0.99722,78
"702",50330,226.65,0.99642,100
"703",50350,236.746031746032,0.94732,126
"704",50370,219.239669421488,0.8869,121
"705",50400,243.323943661972,0.96146,142
"706",50450,223.868686868687,0.95316,99
"707",50568,222.553990610329,0.99922,426
"708",50573,252.020565552699,0.8387,389
"709",50577,222.602564102564,0.7103,78
"710",50590,224.453703703704,0.99896,108
